ERR unknown command (type 'help')
OK mode=LOG
ERR unknown command (type 'help')
M,1273618,W,41,START
OK start
S,1279689,-196,71,541
S,1279699,-174,41,546
S,1279709,-141,10,563
S,1279719,-84,-13,578
S,1279729,-18,-43,584
S,1279739,32,-25,559
S,1279749,29,-3,507
S,1279759,-5,14,461
S,1279769,-23,23,428
S,1279779,-32,35,396
S,1279789,-46,38,373
S,1279799,-59,37,346
S,1279809,-74,25,313
S,1279819,-93,7,278
S,1279829,-85,-5,251
S,1279839,-42,0,253
S,1279849,-15,13,224
S,1279859,-23,5,196
S,1279869,-35,-3,166
S,1279879,-37,-6,146
S,1279889,-32,-27,138
S,1279899,-37,-48,136
S,1279909,-40,-69,114
S,1279919,-34,-72,104
S,1279929,-5,-68,104
S,1279939,20,-61,97
S,1279949,22,-65,97
S,1279959,21,-55,90
S,1279969,29,-44,89
S,1279979,40,-41,93
S,1279989,46,-47,106
S,1279999,47,-53,111
S,1280009,47,-40,111
S,1280019,46,-28,106
S,1280029,35,-20,101
S,1280039,36,-5,103
S,1280049,46,4,115
S,1280059,54,9,132
S,1280069,59,11,151
S,1280079,60,13,166
S,1280089,45,8,171
S,1280099,29,-5,177
S,1280109,2,-6,170
S,1280119,-24,-23,177
S,1280129,-35,-18,176
S,1280139,-28,-36,203
S,1280149,-16,-16,213
S,1280159,1,-30,252
S,1280169,-38,-31,269
S,1280179,-18,-18,263
S,1280189,-35,-14,275
S,1280199,-75,-8,281
S,1280209,-114,-10,292
S,1280219,-128,-3,311
S,1280229,-127,-4,329
S,1280239,-111,-14,363
S,1280249,-102,-12,384
S,1280259,-106,1,394
S,1280269,-119,-5,414
S,1280279,-138,-2,436
S,1280289,-161,1,449
S,1280299,-171,4,457
S,1280309,-177,14,469
S,1280319,-175,31,477
S,1280329,-163,49,469
S,1280339,-146,57,462
S,1280349,-125,59,452
S,1280359,-102,61,451
S,1280373,-87,45,446
S,1280379,-87,45,446
S,1280389,-88,35,437
S,1280399,-98,19,420
S,1280409,-107,-10,414
S,1280419,-105,-19,401
S,1280429,-99,-29,397
S,1280439,-105,-24,382
S,1280449,-111,-31,347
S,1280459,-94,-43,340
S,1280469,-35,-51,354
S,1280479,7,-51,344
S,1280489,-22,-49,312
S,1280499,-64,-56,269
S,1280509,-84,-60,252
S,1280519,-78,-56,265
S,1280529,-99,-57,224
S,1280539,-107,-64,198
S,1280549,-105,-46,167
S,1280559,-77,-60,169
S,1280569,-15,-73,206
S,1280579,25,-81,219
S,1280589,3,-81,209
S,1280599,-27,-82,185
S,1280609,-46,-72,191
S,1280619,-47,-62,188
S,1280629,-75,-59,183
S,1280639,-82,-56,152
S,1280649,-72,-51,136
S,1280659,-51,-74,156
S,1280669,-17,-87,193
S,1280679,4,-89,229
S,1280689,-1,-88,241
S,1280699,-14,-80,235
S,1280709,-24,-63,225
S,1280719,-35,-56,215
S,1280729,-54,-51,209
S,1280739,-67,-47,209
S,1280749,-76,-42,203
S,1280759,-82,-42,204
S,1280769,-92,-41,205
S,1280779,-87,-36,211
S,1280789,-86,-29,208
S,1280799,-81,-26,226
S,1280809,-71,-36,235
S,1280819,-77,-21,246
S,1280829,-79,-17,241
S,1280839,-86,-8,239
S,1280849,-94,-8,232
S,1280859,-99,-10,236
S,1280869,-101,-12,237
S,1280879,-100,-13,240
S,1280889,-96,-8,244
S,1280899,-96,-8,249
S,1280909,-100,-9,250
S,1280919,-100,-1,249
M,1280919,W,42,END
OK end
M,1284438,W,43,START
OK start
S,1284439,-91,42,231
S,1284449,-87,46,228
S,1284459,-79,52,233
S,1284469,-68,55,238
S,1284479,-59,68,238
S,1284489,-52,69,245
S,1284499,-60,61,241
S,1284509,-70,55,226
S,1284519,-79,46,220
S,1284529,-82,35,210
S,1284539,-80,27,204
S,1284549,-67,34,204
S,1284559,-61,34,199
S,1284569,-54,48,189
S,1284579,-47,40,196
S,1284589,-40,44,195
S,1284599,-39,44,185
S,1284609,-40,54,176
S,1284619,-34,65,173
S,1284629,-29,65,171
S,1284639,-28,53,155
S,1284649,-28,50,153
S,1284659,-22,39,163
S,1284669,-6,27,163
S,1284679,12,27,158
S,1284689,25,20,168
S,1284699,33,12,158
S,1284709,40,3,166
S,1284719,36,5,165
S,1284729,14,14,152
S,1284739,-3,2,159
S,1284749,-7,2,159
S,1284759,-4,-20,181
S,1284769,16,-26,195
S,1284779,39,-36,220
S,1284789,37,-54,242
S,1284799,29,-53,242
S,1284809,13,-41,232
S,1284819,-26,17,211
S,1284829,-67,2,206
S,1284839,-119,-22,220
S,1284849,-139,0,249
S,1284859,-126,35,301
S,1284869,-98,53,365
S,1284879,-61,56,428
S,1284889,-20,62,471
S,1284899,-8,70,503
S,1284909,-22,72,508
S,1284919,-76,92,519
S,1284929,-163,56,537
S,1284939,-211,25,567
S,1284949,-205,9,626
S,1284959,-170,-20,663
S,1284969,-124,-57,705
S,1284979,-83,-61,735
S,1284989,-51,-67,705
S,1284999,-45,-28,650
S,1285009,-73,-23,553
S,1285019,-75,14,503
S,1285029,-58,27,483
S,1285039,-53,37,459
S,1285049,-47,43,429
S,1285059,-36,44,396
S,1285069,-31,37,363
S,1285079,-37,18,333
S,1285089,-48,-5,298
S,1285099,-71,-15,256
S,1285109,-95,-11,215
S,1285119,-91,-2,196
S,1285129,-4,39,186
S,1285139,17,57,162
S,1285149,-18,24,128
S,1285159,-45,-25,111
S,1285169,-45,-8,91
S,1285179,-36,-15,93
S,1285189,-36,-26,92
S,1285199,-43,-25,60
S,1285209,-26,-28,61
S,1285219,17,-10,72
S,1285229,36,-10,75
S,1285239,33,-20,75
S,1285249,34,-10,73
S,1285259,36,-11,80
S,1285269,35,-9,83
S,1285279,33,-13,86
S,1285289,29,-16,86
S,1285299,22,-9,75
S,1285309,14,-7,79
S,1285319,17,-10,88
S,1285329,16,-12,105
S,1285339,15,-13,124
S,1285349,20,-9,143
S,1285359,29,1,162
S,1285369,29,-1,177
S,1285379,21,-18,191
S,1285389,21,-28,206
S,1285399,7,-36,211
S,1285409,-6,-38,204
S,1285419,-15,-22,203
S,1285429,-22,-12,209
S,1285439,-34,-21,218
S,1285449,-61,-39,220
S,1285459,-71,-82,203
S,1285469,-108,-58,221
S,1285479,-94,-55,230
S,1285489,-71,-35,252
S,1285499,-60,-7,276
S,1285509,-57,-6,293
S,1285519,-73,0,303
S,1285529,-104,-26,333
S,1285539,-123,-36,359
S,1285549,-124,-33,389
S,1285559,-109,-23,415
S,1285569,-100,11,444
S,1285579,-91,51,484
S,1285589,-98,86,502
S,1285599,-123,103,506
S,1285609,-139,109,512
S,1285619,-154,103,518
S,1285629,-174,95,515
S,1285639,-177,91,515
S,1285649,-169,62,523
S,1285659,-158,29,531
S,1285669,-148,17,526
S,1285679,-117,28,518
S,1285689,-95,48,499
S,1285699,-89,70,484
S,1285709,-92,79,452
S,1285719,-92,81,434
S,1285729,-96,86,410
S,1285739,-104,81,380
S,1285749,-109,65,353
S,1285759,-112,46,331
S,1285769,-117,0,321
S,1285779,-123,-21,308
S,1285789,-97,-11,297
S,1285799,-36,6,314
S,1285809,-14,34,298
S,1285819,-43,30,249
S,1285829,-69,17,218
S,1285839,-68,11,202
S,1285849,-55,-39,228
S,1285859,-64,-96,245
S,1285869,-74,-121,234
S,1285879,-78,-112,203
S,1285889,-88,-128,201
S,1285899,-31,-119,183
S,1285909,30,-76,203
S,1285919,4,-62,164
S,1285929,-44,-64,145
S,1285939,-32,-36,141
S,1285949,-42,-29,131
S,1285959,-59,-52,129
S,1285969,-69,-76,132
S,1285979,-55,-99,152
S,1285989,-13,-110,176
S,1285999,11,-85,186
S,1286009,-10,-83,167
S,1286019,-35,-91,169
S,1286029,-43,-84,175
S,1286039,-49,-69,179
S,1286049,-53,-55,194
S,1286059,-57,-54,204
S,1286069,-63,-49,206
S,1286079,-65,-48,212
S,1286089,-62,-43,218
S,1286099,-62,-40,218
S,1286109,-69,-40,220
S,1286119,-75,-36,222
S,1286129,-75,-31,226
S,1286139,-79,-27,238
S,1286149,-80,-25,242
S,1286159,-79,-15,242
S,1286169,-83,-8,245
S,1286179,-88,-7,247
S,1286189,-94,-5,249
S,1286199,-95,-3,246
S,1286209,-93,-1,249
S,1286219,-93,-1,253
S,1286229,-93,0,254
S,1286239,-94,-1,252
M,1286239,W,43,END
OK end
M,1292178,W,44,START
OK start
S,1292179,-116,39,319
S,1292189,-144,57,313
S,1292199,-151,78,309
S,1292209,-142,103,302
S,1292219,-130,131,284
S,1292229,-115,136,267
S,1292239,-96,126,252
S,1292249,-86,90,243
S,1292259,-79,56,219
S,1292269,-73,-2,212
S,1292279,-55,-2,210
S,1292289,-24,-9,207
S,1292299,6,-2,193
S,1292309,19,13,174
S,1292319,22,11,152
S,1292329,21,18,139
S,1292339,19,-3,146
S,1292349,12,-13,151
S,1292359,5,-19,151
S,1292369,6,-4,155
S,1292379,30,38,166
S,1292389,62,69,180
S,1292399,85,84,198
S,1292409,64,80,203
S,1292419,34,63,201
S,1292433,-55,-6,235
S,1292439,-55,-6,235
S,1292449,-66,2,228
S,1292459,-56,2,242
S,1292469,-60,13,241
S,1292479,-84,59,239
S,1292489,-98,70,245
S,1292499,-119,64,245
S,1292509,-134,48,252
S,1292519,-131,39,277
S,1292529,-125,25,338
S,1292539,-133,56,384
S,1292549,-139,97,419
S,1292559,-138,144,469
S,1292569,-144,165,509
S,1292579,-152,157,570
S,1292589,-168,140,611
S,1292599,-180,115,642
